HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_DATE,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
Detroit Pistons,Atlanta Hawks,2019-11-22,0.004,0.004,2,3,0.2,0.2,0.6,0.4,0.4,0.2,0.28600000000000003,0.28600000000000003,107.3,107.6,112.0,116.9
Washington Wizards,Charlotte Hornets,2019-11-22,0.0008,0.0005,3,4,0.3,0.4,0.3,0.7,0.2,0.5,0.33299999999999996,0.4,119.7,104.9,121.1,112.8
Brooklyn Nets,Sacramento Kings,2019-11-22,0.0179,0.0066,3,3,0.5,0.6,0.6,0.4,0.5,0.3,0.429,0.462,113.5,105.6,116.6,109.0
Chicago Bulls,Miami Heat,2019-11-22,0.0023,0.0164,3,2,0.4,0.8,0.4,0.6,0.3,0.4,0.33299999999999996,0.769,107.3,112.2,109.8,103.7
Oklahoma City Thunder,Los Angeles Lakers,2019-11-22,0.004,0.1818,3,3,0.4,0.9,0.5,0.5,0.6,0.6,0.35700000000000004,0.857,105.7,110.9,106.2,101.1
Philadelphia 76ers,San Antonio Spurs,2019-11-22,0.1143,0.0164,3,4,0.5,0.1,0.3,0.7,0.9,0.1,0.643,0.33299999999999996,109.7,113.5,106.5,116.2
Dallas Mavericks,Cleveland Cavaliers,2019-11-22,0.0094,0.0007,3,3,0.6,0.2,0.4,0.6,0.6,0.2,0.643,0.28600000000000003,116.1,104.1,109.6,109.9
Utah Jazz,Golden State Warriors,2019-11-22,0.0714,0.0952,3,4,0.6,0.2,0.5,0.5,0.8,0.3,0.643,0.188,104.4,108.2,100.6,118.9
Denver Nuggets,Boston Celtics,2019-11-22,0.0476,0.0333,2,4,0.7,0.8,0.4,0.6,0.6,0.6,0.769,0.7859999999999999,106.8,112.0,102.3,104.4
LA Clippers,Houston Rockets,2019-11-22,0.1905,0.125,3,4,0.7,0.8,0.5,0.5,0.9,0.5,0.667,0.733,112.4,117.9,106.4,113.1
